# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1602170683
#
# Overhead  Command          Shared Object              Symbol                                                                                         
# ........  ...............  .........................  ...........................................................................................................................................................................................................
#
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Channel::Dom<Gecode::Int::IntView, Gecode::Int::NoOffset<Gecode::Int::IntView>, false>::cost                                                                                              
     0.05%  black-hole-pati  [unknown]                  [k] 0xffffffff8115a34f                                                                                                                                                                                     
     0.05%  black-hole-pati  black-hole-patience        [.] CompactTable<Gecode::Int::IntView>::dispose                                                                                                                                                            
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::ViewValBrancher<Gecode::Int::IntView, 1, int, 2u>::copy                                                                                                                                        
     0.05%  black-hole-pati  libgecodekernel.so.43.0    [.] Gecode::MemoryManager::alloc_refill                                                                                                                                                                    
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Bool::BinOrTrue<Gecode::Int::BoolView, Gecode::Int::NegBoolView>::propagate                                                                                                               
     0.05%  black-hole-pati  libstdc++.so.6.0.13        [.] std::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::overflow                                                                                                                    
     0.05%  black-hole-pati  [unknown]                  [k] 0xffffffff8113a5ed                                                                                                                                                                                     
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::LqBin<int, Gecode::Int::IntView, Gecode::Int::MinusView>::post                                                                                                                    
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::GqBin<int, Gecode::Int::IntView, Gecode::Int::MinusView>::propagate                                                                                                               
     0.05%  black-hole-pati  [unknown]                  [k] 0xffffffff8118cdf0                                                                                                                                                                                     
     0.05%  black-hole-pati  libc-2.12.so               [.] sYSMALLOc                                                                                                                                                                                              
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] _ZN6Gecode3Int9IntVarImp7nq_fullERNS_5SpaceEi@plt                                                                                                                                                      
     0.05%  black-hole-pati  black-hole-patience        [.] BlackHole::val                                                                                                                                                                                         
     0.05%  black-hole-pati  libgecodeset.so.43.0       [.] Gecode::PosValChoice<int>::~PosValChoice                                                                                                                                                               
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Bool::BoolBinary<Gecode::Int::BoolView, Gecode::Int::NegBoolView>::dispose                                                                                                                
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::ValSelCommit<Gecode::ValSelFunction<Gecode::Int::IntView>, Gecode::Int::Branch::ValCommitEq<Gecode::Int::IntView> >::val                                                                       
     0.05%  black-hole-pati  [unknown]                  [k] 0xffffffff8113df5a                                                                                                                                                                                     
     0.05%  black-hole-pati  libc-2.12.so               [.] free                                                                                                                                                                                                   
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::Int::Linear::post                                                                                                                                                                              
     0.05%  black-hole-pati  libgecodeint.so.43.0       [.] Gecode::VarImp<Gecode::Int::BoolVarImpConf>::subscribe                                                                                                                                                 
     0.05%  black-hole-pati  [unknown]                  [k] 0xffffffff8113da34                                                                                                                                                                                     
     0.05%  black-hole-pati  [unknown]                  [k] 0xffffffff8118a722                                                                                                                                                                                     
     0.05%  black-hole-pati  [unknown]                  [k] 0xffffffff81188ac0                                                                                                                                                                                     
     0.01%  black-hole-pati  [unknown]                  [k] 0xffffffff81121af3                                                                                                                                                                                     
     0.00%  black-hole-pati  [unknown]                  [k] 0xffffffff810464bf                                                                                                                                                                                     
     0.00%  black-hole-pati  [unknown]                  [k] 0xffffffff8104614a                                                                                                                                                                                     
     0.00%  black-hole-pati  [unknown]                  [k] 0xffffffff8104614c                                                                                                                                                                                     


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
